Price,Date,Postcode,Property Type,New built indicator,Tenure Type
466072,2024-08-09,DD,D,Y,F
958476,2024-01-16,TD,S,Y,F
487659,2024-02-26,GU,S,Y,L
453242,2024-11-18,RH,F,Y,F
214899,2024-05-14,PR,D,N,F
1496149,2024-11-22,TS,S,N,L
676995,2024-10-04,EN,S,Y,L
143461,2024-01-30,WF,T,Y,L
1610610,2024-07-26,DN,S,Y,F
1174039,2024-08-23,GL,F,N,L
356039,2024-06-07,MK,T,Y,F
170153,2024-07-18,SO,T,Y,L
315404,2024-11-17,LA,T,Y,L
1078581,2024-11-08,EX,S,Y,L
709137,2024-09-14,KY,S,Y,L
671766,2024-02-01,GY,S,Y,L
1896101,2024-10-14,B,F,Y,L
1402013,2024-09-02,GY,S,Y,F
1551699,2024-07-25,CT,S,N,F
1626753,2024-11-29,FK,T,N,F
1204311,2024-12-25,DA,T,Y,F
1441501,2024-10-27,AB,F,N,F
323986,2024-03-30,PR,S,Y,F
1970613,2024-10-11,OX,T,Y,F
1445588,2024-06-14,IP,S,Y,L
1538600,2024-07-06,RM,T,Y,F
1702129,2024-02-14,NG,D,N,F
1344977,2024-08-15,MK,F,Y,F
1158925,2024-02-04,EC,D,Y,F
371995,2024-09-05,M,F,Y,L
1048353,2024-02-23,EC,F,N,F
1865934,2024-10-06,CO,T,N,F
544937,2024-01-19,BA,F,Y,L
566112,2024-07-11,E,T,Y,L
406349,2024-05-15,EH,T,Y,L
1130094,2024-07-19,G,S,Y,F
1840632,2024-03-26,BD,T,N,L
619509,2024-09-27,PO,D,N,L
1469663,2024-06-03,CT,D,Y,F
1503032,2024-08-18,KA,T,N,F
1530741,2024-10-31,NR,S,Y,L
357007,2024-10-08,RM,T,Y,L
636398,2024-07-07,ZE,S,N,F
1182439,2024-07-12,DY,D,N,F
384194,2024-09-06,PO,S,Y,F
1165526,2024-03-12,GU,D,Y,F
961070,2024-02-03,NW,D,N,L
1457097,2024-03-22,EC,T,N,L
619587,2024-10-13,JE,F,Y,L
1224595,2024-04-18,CW,F,N,L
307649,2024-04-30,CV,T,Y,L
1988211,2024-04-21,BH,S,N,F
580936,2024-06-18,GY,T,N,L
1452775,2024-05-28,DL,F,Y,F
137618,2024-05-27,SK,S,N,F
595470,2024-11-09,FK,F,Y,F
556088,2024-09-21,CR,S,Y,F
1132146,2024-05-16,WF,T,N,F
753444,2024-07-10,HA,S,N,L
497952,2024-03-02,BL,S,Y,L
550253,2024-03-08,DE,T,N,F
500891,2024-09-07,TQ,D,Y,F
238008,2024-09-14,SL,T,N,F
947236,2024-07-18,NP,S,Y,L
1310503,2024-10-16,SE,F,N,L
1480434,2024-08-17,WF,S,Y,F
1306587,2024-12-23,PH,D,Y,L
593370,2024-03-03,SO,F,N,F
1941464,2024-02-26,CH,F,N,L
118005,2024-09-04,DH,S,N,F
1890170,2024-10-13,LN,T,Y,L
1856370,2024-03-15,B,F,Y,L
1495801,2024-04-19,LL,F,Y,F
1113002,2024-05-22,NR,F,Y,F
966898,2024-07-11,KT,D,N,F
1201789,2024-01-14,HU,S,Y,F
327417,2024-04-06,CB,T,Y,F
749579,2024-02-08,CW,T,Y,L
1609148,2024-04-05,GU,S,Y,F
1685011,2024-04-05,FY,T,Y,F
1029628,2024-05-09,TN,S,N,L
1630101,2024-08-31,TF,F,N,F
736310,2024-12-16,ST,T,Y,L
1423480,2024-05-28,DA,F,Y,L
807959,2024-03-26,NN,S,Y,L
1092073,2024-09-06,SW,T,N,F
1590305,2024-03-21,NG,F,Y,L
1231504,2024-05-08,DE,S,N,F
673019,2024-11-10,G,D,Y,L
669361,2024-01-26,MK,D,N,F
992311,2024-11-10,EX,T,Y,F
203414,2024-04-20,NN,S,N,F
635834,2024-06-24,PR,D,Y,L
857726,2024-05-05,HA,D,Y,F
1651697,2024-04-11,SP,D,Y,L
618010,2024-04-05,LS,T,N,F
497636,2024-09-06,GL,F,Y,F
896731,2024-09-25,ST,D,Y,F
1209559,2024-04-04,CA,F,N,L
1597264,2024-04-07,RH,T,N,L
1693046,2024-12-31,BR,F,Y,L
1899837,2024-10-16,CH,F,Y,L
219629,2024-12-05,SW,F,Y,L
451987,2024-08-09,SM,F,N,F
1844795,2024-07-25,KT,S,Y,F
880765,2024-03-31,GU,D,N,F
819501,2024-07-05,CF,F,Y,L
1325043,2024-10-31,ST,D,Y,L
476289,2024-04-08,WR,F,Y,L
356389,2024-11-10,NP,T,N,F
882507,2024-12-31,KT,D,N,F
1621051,2024-06-16,BN,T,N,L
1709396,2024-02-14,DD,F,N,L
199072,2024-04-22,ME,F,N,L
1328648,2024-10-02,KT,D,Y,F
224480,2024-01-21,CW,D,N,F
196397,2024-01-19,CB,F,N,L
1414124,2024-05-10,WC,S,N,F
415466,2024-03-10,SL,F,Y,F
1012947,2024-09-22,LS,T,Y,L
407694,2024-05-26,SL,T,Y,L
246530,2024-02-23,HU,F,N,L
404805,2024-11-20,NW,T,N,F
672260,2024-04-04,AL,D,Y,F
1794842,2024-05-11,CW,D,Y,F
1141618,2024-09-25,RG,T,Y,L
580282,2024-09-15,LD,S,Y,L
1966217,2024-07-07,HG,S,Y,L
954177,2024-08-16,GY,S,N,L
1092889,2024-02-05,ME,T,Y,F
175785,2024-05-28,EN,S,N,F
300156,2024-01-30,PE,T,Y,F
716122,2024-03-16,CA,D,Y,F
762803,2024-01-06,HP,S,N,L
303962,2024-06-01,LU,D,N,L
1021761,2024-12-30,CV,S,N,L
524190,2024-02-22,SO,T,N,L
219186,2024-09-06,IV,F,N,F
435405,2024-10-24,JE,T,Y,L
1533211,2024-08-03,ZE,T,Y,F
1590563,2024-06-10,WR,S,N,L
181865,2024-10-05,WF,S,Y,F
1498343,2024-02-18,EN,S,N,F
800926,2024-09-08,LU,D,Y,F
1708454,2024-07-17,HP,S,Y,L
1775449,2024-03-03,NG,S,Y,L
1871766,2024-06-07,LU,S,Y,L
510995,2024-07-29,CW,S,Y,F
1854632,2024-05-08,BD,D,N,L
1210899,2024-09-26,HX,F,N,L
412871,2024-05-01,BA,F,Y,F
141034,2024-01-30,RG,S,N,F
1984248,2024-12-30,WF,T,Y,L
1376040,2024-10-05,HG,S,N,F
153703,2024-10-13,BT,F,N,F
1820428,2024-02-16,BS,S,N,F
235768,2024-11-12,SK,D,N,F
1604282,2024-08-31,SR,S,Y,L
1128909,2024-12-19,CM,F,N,L
1713038,2024-10-07,HS,F,Y,L
1130295,2024-11-26,SR,S,N,F
407667,2024-09-14,NN,D,N,F
1560811,2024-03-28,LD,T,Y,L
770184,2024-08-07,HR,F,Y,F
1000937,2024-10-14,WF,D,N,L
341639,2024-12-11,TR,D,N,F
245192,2024-07-07,BH,T,Y,F
399468,2024-04-13,DY,S,N,L
574314,2024-04-14,KA,F,Y,F
377781,2024-10-24,BR,S,N,F
635413,2024-02-02,CF,T,Y,L
1429066,2024-02-13,CR,D,Y,L
1754317,2024-04-24,PL,S,Y,F
1872328,2024-05-08,SN,S,Y,F
1948505,2024-11-07,CB,D,Y,F
750549,2024-05-18,LA,F,N,L
1469710,2024-11-05,CM,T,Y,F
142637,2024-07-01,TW,D,N,F
136727,2024-08-23,DG,D,N,F
1236509,2024-08-03,TF,D,Y,L
1546190,2024-06-10,BB,F,N,L
1973256,2024-06-15,SG,F,N,L
208743,2024-08-17,WF,D,N,F
341923,2024-01-22,PH,F,N,F
711948,2024-08-31,PH,S,N,F
1944834,2024-09-01,LS,D,N,F
491266,2024-08-18,BS,S,Y,L
1600790,2024-03-13,BS,D,N,F
1853574,2024-02-17,DG,S,Y,L
642219,2024-11-05,NE,F,N,F
1820832,2024-01-21,DL,T,N,F
1367103,2024-12-03,BS,F,Y,F
346561,2024-02-06,LE,F,Y,L
1179547,2024-05-27,LU,T,N,L
1921794,2024-03-25,EN,D,Y,L
1114064,2024-03-20,TW,T,Y,F
610603,2024-11-22,HD,S,Y,L
283170,2024-07-08,EN,S,Y,F
1268520,2024-04-28,SG,D,N,L
234518,2024-06-26,OL,S,N,F
1228601,2024-04-24,EC,T,N,F
625254,2024-02-15,HP,T,Y,L
1656135,2024-04-18,SN,D,N,L
1837281,2024-06-16,SE,S,N,L
392347,2024-01-31,UB,S,N,F
1137021,2024-03-13,PO,T,Y,F
742011,2024-06-08,DT,S,Y,F
1801021,2024-09-29,EX,T,Y,L
1965538,2024-04-04,BB,F,Y,L
686746,2024-05-27,SS,T,N,L
1096017,2024-05-28,CM,F,N,L
299257,2024-09-05,HA,T,Y,L
1778323,2024-03-02,UB,F,N,F
1680311,2024-12-02,SS,S,N,L
1373219,2024-07-27,PR,S,N,L
943573,2024-07-20,WN,S,Y,L
1692776,2024-11-07,LU,D,Y,L
751547,2024-12-30,KA,D,Y,L
1772432,2024-08-24,LS,D,N,L
943655,2024-05-14,DD,S,N,F
1347914,2024-10-04,WF,F,Y,F
1857680,2024-11-26,BB,D,Y,L
1230672,2024-01-12,JE,T,Y,L
189951,2024-08-27,PR,F,N,L
1672221,2024-06-12,CT,D,N,L
179728,2024-01-22,IM,S,N,L
1877061,2024-12-04,KA,F,Y,L
454445,2024-05-04,EC,D,N,F
811150,2024-04-18,BS,S,Y,F
809693,2024-11-18,B,F,Y,L
1127040,2024-07-10,ME,D,N,L
748557,2024-04-09,B,S,Y,L
492956,2024-03-04,SR,F,N,F
926402,2024-09-04,SK,T,Y,L
1985928,2024-01-06,WF,F,Y,L
1087076,2024-07-25,NR,T,N,F
636822,2024-10-05,SG,D,Y,F
690718,2024-01-30,BB,F,N,F
1672136,2024-08-25,RH,T,Y,L
407093,2024-04-18,PH,T,Y,F
280807,2024-09-20,WF,T,Y,L
1367701,2024-06-17,GY,S,Y,L
597856,2024-05-05,RG,S,N,F
1376189,2024-08-14,IM,D,N,L
897830,2024-05-22,SO,F,Y,F
1468602,2024-01-17,L,S,Y,L
1086252,2024-10-18,EC,F,N,L
1871741,2024-09-21,EX,T,Y,F
1544016,2024-03-06,RG,S,Y,L
1490817,2024-01-06,LN,S,N,L
1881879,2024-09-04,LE,F,Y,F
1100690,2024-03-31,IG,D,Y,F
1723316,2024-07-20,RH,D,N,L
1433798,2024-10-22,SY,S,N,L
356104,2024-02-03,TQ,S,N,L
1111942,2024-02-11,WD,F,Y,F
1347451,2024-04-05,G,D,Y,L
1168731,2024-07-03,DE,F,N,L
201918,2024-06-21,LA,T,Y,L
472238,2024-09-23,SE,T,N,L
286457,2024-08-27,FK,F,N,F
1935661,2024-09-02,DH,T,Y,F
324360,2024-02-13,SM,F,N,F
1818820,2024-10-26,LD,S,Y,F
1665974,2024-08-25,HG,S,N,F
1006869,2024-08-12,TA,T,N,F
1964511,2024-05-10,PR,S,N,F
1575388,2024-04-10,ZE,T,N,F
1056710,2024-09-16,SP,D,N,F
762688,2024-02-08,NG,D,Y,L
455063,2024-04-25,TN,T,N,L
856438,2024-02-07,PO,T,N,F
1288879,2024-04-18,GU,F,N,L
1433318,2024-05-23,ML,S,N,F
1401253,2024-05-16,SW,F,N,L
146639,2024-04-16,B,F,Y,L
646653,2024-10-10,HG,F,Y,F
1076897,2024-06-08,SR,D,N,L
1846346,2024-04-03,LU,S,Y,F
1756903,2024-09-19,DL,T,Y,L
814027,2024-12-23,UB,T,N,F
1924064,2024-02-01,S,S,N,F
1758811,2024-06-29,KA,S,Y,F
582864,2024-10-01,BR,S,Y,L
1576845,2024-11-21,G,F,N,L
757980,2024-12-03,EC,S,N,L
166835,2024-10-10,MK,F,Y,F
1602063,2024-08-07,SS,S,N,L
1432565,2024-06-08,BN,S,Y,F
267197,2024-10-05,S,D,Y,L
769993,2024-10-06,DY,S,Y,F
1886061,2024-09-13,ZE,S,N,L
300763,2024-11-17,IM,F,N,L
1990877,2024-06-16,TN,S,Y,F
676149,2024-10-28,BR,S,N,L
1554901,2024-09-02,SO,S,N,F
1671877,2024-08-06,SY,T,Y,L
248211,2024-03-18,EN,S,N,L
326977,2024-12-13,WV,T,N,L
310410,2024-01-03,OL,T,Y,F
1638730,2024-03-21,DA,F,Y,F
279740,2024-12-07,PR,D,Y,F
1300082,2024-10-02,S,F,N,L
